ticker,company_name,fiscal_year,report_period_end,total_assets,ppe_net,ppe_gross,accumulated_depreciation,servers_gross,servers_net,buildings_gross,buildings_net,construction_in_progress,intangible_assets_net,goodwill,revenue,net_income,operating_income,income_tax_expense,rd_expense,rd_capitalized,impairment_loss,depreciation,amortization,capex_ppe,finance_lease_payments,operating_cash_flow,server_useful_life,building_useful_life,land_gross,equipment_gross,equipment_net,servers_accumulated_depreciation,buildings_accumulated_depreciation,software_intangibles,patent_intangibles,cash_and_equivalents,total_liabilities,gross_profit,sg_and_a,diluted_eps,ppe_sales_proceeds,effective_tax_rate,employee_count,equipment_useful_life,software_amortization_years,goodwill_test_method,revenue_breakdown,revenue_geography,server_life_min_years,server_life_max_years,building_life_min_years,building_life_max_years,life_extended_current_period,life_extension_depreciation_reduction,server_depreciation_ratio,inventory_writedown,accelerated_dep_charges,restructuring_charges,depreciation_rate_ppe,depreciation_rate_total_assets,amortization_rate,intangible_ratio,goodwill_ratio,rd_intensity,capex_to_revenue,capex_to_ppe_net,asset_turnover,ppe_turnover,accumulated_depreciation_rate,net_ppe_rate,depreciation_coverage,capital_intensity,net_margin,cip_to_ppe,depreciation_growth_rate,revenue_growth_rate,capex_yoy_growth,D1,D2,D3,D4,D5,composite_score,risk_level
AMD,"Advanced Micro Devices, Inc.",2022,2022-12-31,67580,1513,3020,1507,,,,,143,24118,24177,23601,1320,1264,-122,5005,,0,439,3548,450,,3565,,34-44,,2163,,,,,,,,,,,,,,1-15,,"Annual test as of the first day of Q4 at reporting-unit level (Data Center, Gaming, Embedded after Q2 2022 segment change), qualitative-first with quantitative option; FY2022 tested twice (Q2 segment ",,,,,34,44,0,,,,,,0.2902,0.0065,0.0525,0.7146,0.3578,0.2121,0.0191,0.2974,0.3492,15.5988,0.499,0.501,0.3326,0.0224,0.0559,0.0945,0.4831,,0.495,3,2,3,1,3,2.4,中风险
AMD,"Advanced Micro Devices, Inc.",2023,2023-12-30,67885,1589,3376,1787,,,,,,21363,24262,22680,854,,,,,0,441,2811,546,,,,34-44,,,,,,,,,,,,,,,,2-15,,"Annual qualitative test as of the first day of Q4 at reporting-unit level (Data Center, Client, Gaming, Embedded); quantitative test if triggered; FY2023 conclusion: no impairment",,,,,34,44,0,,,,,,0.2775,0.0065,0.0414,0.6721,0.3574,,0.0241,0.3436,0.3341,14.2731,0.5293,0.4707,0.5164,0.0234,0.0377,,0.0046,-0.039,0.2133,3,2,3,1,3,2.4,中风险
AMD,"Advanced Micro Devices, Inc.",2024,2024-12-28,69226,1802,3975,2173,,,,,324,18930,24839,25785,1641,1900,,,,58,454,2394,636,,,,34-44,,2798,,,,,,,,,,,,,,2-15,,"Annual qualitative test as of the first day of Q4 at reporting-unit level (Data Center, Client, Gaming, Embedded); quantitative test if triggered; FY2024 conclusion: no impairment (lines 3768-3770)",,,,,34,44,0,,,,,186,0.2519,0.0066,0.0346,0.6323,0.3588,,0.0247,0.3529,0.3725,14.3091,0.5467,0.4533,0.2767,0.026,0.0636,0.1798,0.0295,0.1369,0.1648,3,2,4,1,3,2.6,中风险
CRM,"Salesforce, Inc.",2023,2023-01-31,98849,3702,6404,2702,3556,,,,,7125,48568,31352,208,1030,452,5055,,,903,1951,798,419,7111,3-5,10-40,,,,,,,,,,,,,,,,5(家具),,"annually in Q4, or more often if circumstances indicate goodwill may not be recoverable",,,3,5,10,40,0,,,,,828,0.2439,0.0091,0.0197,0.5634,0.4913,0.1612,0.0255,0.2156,0.3172,8.4689,0.4219,0.5781,4.3413,0.0375,0.0066,,,,,3,3,2,1,1,2.1,中风险
CRM,"Salesforce, Inc.",2024,2024-01-31,99823,3689,6841,3152,,,,,,5278,48620,34857,4136,5011,814,4906,,,1100,1869,736,629,10234,3-5,10-40,,,,,,,,,,,,,,,,5(家具),,"annually in Q4, or more often if circumstances indicate goodwill may not be recoverable",,,3,5,10,40,0,,,,,988,0.2982,0.011,0.0187,0.5399,0.4871,0.1407,0.0211,0.1995,0.3492,9.4489,0.4608,0.5392,0.266,0.037,0.1187,,0.2182,0.1118,-0.0777,3,3,2,1,1,2.1,中风险
CRM,"Salesforce, Inc.",2025,2025-01-31,102928,3236,6918,3682,4345,,,,,4428,51283,37895,6197,7205,1241,5493,,,1000,1651,658,603,13092,3-5,10-40,,,,,,,,,,,,,,,,5(家具),,annually during its fourth quarter of each fiscal year or more often if and when circumstances indicate that goodwill may not be recoverable,,,3,5,10,40,0,,,,,461,0.309,0.0097,0.016,0.5413,0.4982,0.145,0.0174,0.2033,0.3682,11.7104,0.5322,0.4678,0.1614,0.0314,0.1635,,-0.0909,0.0872,-0.106,3,3,2,1,1,2.1,中风险
GOOGL,Alphabet Inc.,2022,2022-12-31,,112204,,,,,,,,,,282836,59972,74842,,39500,,,13475,,31500,,,4 (pre-change); changing to 6 effective January 2023,12-25,,,,,,,,,,,,,,,,,,,,,4,4,12,25,0,,,,,,0.1201,,,,,0.1397,0.1114,0.2807,,2.5207,,,0.2247,,0.212,,,,,5,5,2,4,5,4.2,极高风险
GOOGL,Alphabet Inc.,2023,2023-12-31,,134345,201803,67458,80594,,,,35229,,,307394,73795,,,,,,11946,,32251,,,6(由4变更),7-25,,,,,,,,,,,,,,,,,,,,,6,6,7,25,1,3900,,,269,3933,0.0889,,,,,,0.1049,0.2401,,2.2881,0.3343,0.6657,0.1619,,0.2401,0.2622,-0.1135,0.0868,0.0238,5,5,4,3,4,4.25,高风险
GOOGL,Alphabet Inc.,2024,2024-12-31,,165000,,,,,,,,,,350000,100000,115000,,,,,15300,,52500,,,6 (unchanged from 2022 change),12-25,,,,,,,,,,,,,,,,,,,,,6,6,12,25,0,,,,,,0.0927,,,,,,0.15,0.3182,,2.1212,,,0.153,,0.2857,,0.2808,0.1386,0.6279,5,4,2,5,5,4.2,极高风险
INTC,Intel Corporation,2022,2022-12-31,182103,80860,174246,93386,,,44808,,36727,6018,27591,63054,8017,2334,-249,17528,,151,11128,1907,24844,345,15433,,10-25,,92711,,,,,,,,,,,,,,3-5,,,,,,,10,25,0,,,723,423,2,0.1376,0.0611,0.0105,0.1846,0.1515,0.278,0.394,0.3072,0.3463,0.7798,0.5359,0.4641,1.3881,0.444,0.1271,0.4542,0.1181,,0.3262,3,3,4,5,5,3.9,中高风险
INTC,Intel Corporation,2023,2023-12-30,191572,96647,194657,98010,,,51182,,43442,4589,27591,54228,1675,93,-913,16046,,45,7847,1755,25750,96,11471,,10-25,,100033,,,,,,,,,,,,,,3-8,,,,,,,10,25,1,4200,,,411,-62,0.0812,0.041,0.0092,0.168,0.144,0.2959,0.4748,0.2664,0.2831,0.5611,0.5035,0.4965,4.6848,0.5045,0.0309,0.4495,-0.2948,-0.14,0.0365,4,5,4,5,5,4.55,高风险
INTC,Intel Corporation,2024,2024-12-28,196485,107919,210112,102193,,,56544,,50418,,24693,53101,-19233,-11678,8023,16546,,3631,9951,1428,23944,235,8288,,10-25,,103150,,,,,,,,,,,,,,3-8,,,,,,,10,25,0,,,,992,6970,0.0922,0.0506,0.0073,,0.1257,0.3116,0.4509,0.2219,0.2703,0.492,0.4864,0.5136,-0.5174,0.5492,-0.3622,0.4672,0.2681,-0.0208,-0.0701,4,4,5,5,5,4.55,高风险
META,"Meta Platforms, Inc.",2022,2022-12-31,,79518,104493,24975,34330,,,,25052,,,116609,23200,28944,,35338,,3560,8500,190,32040,,50475,4-5(2022年内由4经4.5延至5),25-30,,,,,,,,,,,,8.59,,,86482,1-25,,,,,4,5,25,30,1,860,0.622,,,4611,0.1069,,,,,0.303,0.2748,0.4029,,1.4664,0.239,0.761,0.3664,,0.199,0.315,0.1243,,,4,5,5,5,4,4.6,高风险
META,"Meta Platforms, Inc.",2023,2023-12-31,,96319,,39319,,,,,,,,134902,39098,,,,,2432,11178,161,27266,,,4-5,25-30,,,,,,,,,,,,,,,,1-25,,,,,4,5,25,30,0,,0.655,,,,0.1161,,,,,,0.2021,0.2831,,1.4006,,,0.2859,,0.2898,,0.3151,0.1569,-0.149,4,4,4,4,4,4.0,高风险
META,"Meta Platforms, Inc.",2024,2024-12-31,,121346,,,,,,,,,,164501,62360,78077,,39130,,,15290,,37263,,74700,5.5 (FY2024 change: extended from 5 years),15-25,,,,,,,,,,,,,,,,,,,,,5.5,5.5,15,25,1,,,,,,0.126,,,,,0.2379,0.2265,0.3071,,1.3556,,,0.2452,,0.3791,,0.3679,0.2194,0.3666,5,5,3,5,5,4.60,极高风险
MSFT,Microsoft Corporation,2023,2023-06-30,411976,95641,163892,68251,74961,,,,,9366,67886,211915,72361,88523,16950,27195,,,11000,2500,28107,,87582,6(由4变更),5-15,,,,,,,,,,,,,,,,2-6,3,,,,6,6,5,15,1,3700,,,,1200,0.115,0.0267,0.0061,0.1875,0.1648,0.1283,0.1326,0.2939,0.5144,2.2157,0.4164,0.5836,0.152,0.2322,0.3415,,-0.127,,0.1767,5,5,4,3,5,4.4,高风险
MSFT,Microsoft Corporation,2024,2024-06-30,512163,135591,212012,76421,93780,,,,,27597,119220,245122,88136,109433,19651,29510,,0,15200,4800,44477,,118548,6(由4变更),5-15,,,,,,,,,,,,,,,,2-6,3,,,,6,6,5,15,0,,,,,0,0.1121,0.0297,0.0094,0.2867,0.2328,0.1204,0.1814,0.328,0.4786,1.8078,0.3605,0.6395,0.1725,0.2647,0.3596,,0.3818,0.1567,0.5824,5,4,3,4,5,4.2,高风险
